DATE,Per Capita,Immigration Count,Inflation,Construction,Purchasing,Rent,Target
2009-04-01,31948.528833333334,611231.3333333334,0.42816666666666664,2620.956,46.9,524.6510000000001,146.94299999999998
2009-05-01,39935.661041666666,764039.1666666667,0.5352083333333333,2614.6780000000003,46.8,524.846,148.16899999999998
2009-06-01,47922.79325,916847.0,0.64225,2615.3969999999995,46.4,526.869,149.797
2009-07-01,55909.92545833333,1069654.8333333335,0.7492916666666666,2613.792999999999,46.4,527.741,150.749
2009-08-01,63897.05766666667,1222462.6666666667,0.8563333333333333,2621.0049999999997,46.3,528.726,150.66899999999998
2009-09-01,71884.189875,1375270.5,0.963375,2624.749,46.3,529.159,149.628
2009-10-01,79871.32208333333,1528078.3333333335,1.0704166666666666,2624.0699999999997,46.3,528.433,148.585
2009-11-01,87858.45429166667,1680886.1666666667,1.1774583333333333,2615.962,46.2,528.9,147.939
2009-12-01,95845.5865,1833694.0,1.2845,2621.6979999999994,46.3,528.895,146.664
2010-01-01,8226.384133333333,133739.16666666666,0.39973333333333333,2637.9350000000004,46.1,529.874,145.003
2010-02-01,16452.768266666666,267478.3333333333,0.7994666666666667,2641.281,46.1,530.4490000000001,143.053
2010-03-01,24679.1524,401217.5,1.1992,2652.490999999999,45.9,531.386,143.597
2010-04-01,32905.53653333333,534956.6666666666,1.5989333333333333,2675.2079999999996,45.9,531.863,145.404
2010-05-01,41131.920666666665,668695.8333333333,1.9986666666666666,2702.4170000000004,45.8,532.466,147.04
2010-06-01,49358.3048,802435.0,2.3984,2708.837,45.9,534.37,147.70600000000002
2010-07-01,57584.68893333333,936174.1666666666,2.7981333333333334,2701.318,45.9,535.364,147.566
2010-08-01,65811.07306666666,1069913.3333333333,3.1978666666666666,2695.834,45.8,535.799,146.431
2010-09-01,74037.4572,1203652.5,3.5976,2693.6510000000003,45.8,536.008,144.612
2010-10-01,82263.84133333333,1337391.6666666665,3.997333333333333,2689.1569999999997,45.7,535.206,143.13299999999998
2010-11-01,90490.22546666666,1471130.8333333333,4.3970666666666665,2678.269,45.7,535.784,141.82299999999998
2010-12-01,98716.6096,1604870.0,4.7968,2688.508,45.6,536.467,140.632
